place_id,place_name,latitude,longitude,category,subcategory,address,rating,rating_normalized,tags,source,osm_id,website,phone,opening_hours,cuisine,description,wheelchair,fee,image,is_free,is_open_24h,price_level,category_label
OPE_9941621909,Bhairoba Mandir,18.472974,73.977886,tourist_attraction,place_of_worship,"Fursungi, Pune, 412308",N/A,,tourism|culture|sightseeing|landmark,openstreetmap,9941621909,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,False,False,budget,Tourist Attraction
OPE_3837531763,Bhajiram Mandir,18.51602,73.847765,tourist_attraction,place_of_worship,N/A,N/A,,tourism|culture|sightseeing|landmark,openstreetmap,3837531763,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,False,False,budget,Tourist Attraction
OPE_232879052,Bharat Itihas Sanshodhak Mandal,18.510666,73.84951,tourist_attraction,museum,N/A,N/A,,tourism|culture|sightseeing|landmark,openstreetmap,232879052,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,False,False,budget,Tourist Attraction
OPE_11428471741,Bharti Campus,18.455041,73.855322,tourist_attraction,park,N/A,N/A,,tourism|culture|sightseeing|landmark,openstreetmap,11428471741,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,False,False,budget,Tourist Attraction
OPE_11422184455,Bharti School Ground,18.455777,73.854521,tourist_attraction,park,N/A,N/A,,tourism|culture|sightseeing|landmark,openstreetmap,11422184455,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,False,False,budget,Tourist Attraction
OPE_1109153491,Bhavani Mandir,18.513205,73.813087,tourist_attraction,place_of_worship,N/A,N/A,,tourism|culture|sightseeing|landmark,openstreetmap,1109153491,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,False,False,budget,Tourist Attraction
OPE_13620265859,Bhavani Mata Mandir,18.481588,73.798569,tourist_attraction,place_of_worship,N/A,N/A,,tourism|culture|sightseeing|landmark,openstreetmap,13620265859,N/A,N/A,N/A,N/A,N/A,no,N/A,N/A,False,False,budget,Tourist Attraction
OPE_213842797,Bhimale Garden,18.487206,73.874784,tourist_attraction,park,"Opp to chintamani ganesh mandir, market yard, pune, 411037",N/A,,tourism|culture|sightseeing|landmark,openstreetmap,213842797,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,False,False,budget,Tourist Attraction
OPE_1461828269,Bhimale Udyan,18.495749,73.876369,tourist_attraction,park,"Irawati Karve Marg, 411037",N/A,,tourism|culture|sightseeing|landmark,openstreetmap,1461828269,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,False,False,budget,Tourist Attraction
OPE_265152062,Bho,18.517612,73.920541,tourist_attraction,park,N/A,N/A,,tourism|culture|sightseeing|landmark,openstreetmap,265152062,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,False,False,budget,Tourist Attraction
OPE_7169206205,Bhopdeo Ghat Viewpoint,18.415399,73.905586,tourist_attraction,viewpoint,N/A,N/A,,tourism|culture|sightseeing|landmark,openstreetmap,7169206205,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,False,False,budget,Tourist Attraction
OPE_470109423,Bhosale Garden,18.504928,73.930611,tourist_attraction,park,N/A,N/A,,tourism|culture|sightseeing|landmark,openstreetmap,470109423,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,False,False,budget,Tourist Attraction
OPE_448099209,Bhosari Sahal Kendra Udyan,18.625027,73.848809,tourist_attraction,park,N/A,N/A,,tourism|culture|sightseeing|landmark,openstreetmap,448099209,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,False,False,budget,Tourist Attraction
OPE_10598349039,Bilal Masjid,18.46443,73.888306,tourist_attraction,place_of_worship,N/A,N/A,,tourism|culture|sightseeing|landmark,openstreetmap,10598349039,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,False,False,budget,Tourist Attraction
OPE_11805034873,Bilvakedareshwar Temple,18.461652,73.784268,tourist_attraction,place_of_worship,N/A,N/A,,tourism|culture|sightseeing|landmark,openstreetmap,11805034873,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,False,False,budget,Tourist Attraction
OPE_359539867,Biswa Bharti Kali Mandir,18.642451,73.844908,tourist_attraction,place_of_worship,N/A,N/A,,tourism|culture|sightseeing|landmark,openstreetmap,359539867,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,False,False,budget,Tourist Attraction
OPE_9438498607,Book Sculpture,18.520215,73.830502,tourist_attraction,artwork,N/A,N/A,,tourism|culture|sightseeing|landmark,openstreetmap,9438498607,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,False,False,budget,Tourist Attraction
OPE_1272745307,Bopadev Mandir,18.408516,73.906928,tourist_attraction,place_of_worship,N/A,N/A,,tourism|culture|sightseeing|landmark,openstreetmap,1272745307,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,False,False,budget,Tourist Attraction
OPE_10172907163,Botanical Garden,18.565817,73.825102,tourist_attraction,park,N/A,N/A,,tourism|culture|sightseeing|landmark,openstreetmap,10172907163,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,False,False,budget,Tourist Attraction
OPE_1839836663,Boudh Vihor Temple,18.470528,73.855861,tourist_attraction,place_of_worship,N/A,N/A,,tourism|culture|sightseeing|landmark,openstreetmap,1839836663,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,False,False,budget,Tourist Attraction
OPE_3997118331,Buddha Statue,18.54424,73.77404,tourist_attraction,monument,N/A,N/A,,tourism|culture|sightseeing|landmark,openstreetmap,3997118331,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,False,False,budget,Tourist Attraction
OPE_1033389168,Buddha Vihar,18.55275,73.829077,tourist_attraction,place_of_worship,N/A,N/A,,tourism|culture|sightseeing|landmark,openstreetmap,1033389168,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,False,False,budget,Tourist Attraction
OPE_280859669,Buddha-Hall,18.537239,73.886753,tourist_attraction,place_of_worship,N/A,N/A,,tourism|culture|sightseeing|landmark,openstreetmap,280859669,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,False,False,budget,Tourist Attraction
